,occ_brazil,occ_canada,occ_france,occ_germany,occ_italy,occ_mexico,occ_peru,occ_spain,occ_sweden,occ_usa,occ_count_tokens_overall,freq_brazil,tf_idf_brazil,freq_canada,tf_idf_canada,freq_france,tf_idf_france,freq_germany,tf_idf_germany,freq_italy,tf_idf_italy,freq_mexico,tf_idf_mexico,freq_peru,tf_idf_peru,freq_spain,tf_idf_spain,freq_sweden,tf_idf_sweden,freq_usa,tf_idf_usa
tilt,0,0,1,0,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.00018158707100054475,0.00013444029226334554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timber,2,0,0,1,0,2,0,0,2,0,7,0.00018147173577715272,3.562192997803615e-05,0.0,0.0,0.0,0.0,0.0001330671989354624,2.6120378595338413e-05,0.0,0.0,0.00010814318157240186,2.1227927451494342e-05,0.0,0.0,0.0,0.0,0.0002578981302385558,5.06240219584702e-05,0.0,0.0
timbered,0,0,4,4,0,0,0,0,1,0,9,0.0,0.0,0.0,0.0,0.00028762493708204504,2.506656380783784e-05,0.0005322687957418496,4.638731907858959e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001289490651192779,1.1237933683932972e-05,0.0,0.0
time,27,12,36,27,17,55,3,36,18,4,235,0.0024498684329915615,-0.003257529242542855,0.0029806259314456036,-0.003963264313304057,0.0025886244337384053,-0.003442029652411477,0.003592814371257485,-0.004777276085437765,0.003086980207009261,-0.004104680953500943,0.002973937493241051,-0.0039543708630498066,0.0016420361247947454,-0.002183374675063237,0.0026873693639892504,-0.003573328335031831,0.0023210831721470018,-0.0030862866780197555,0.0021447721179624667,-0.002851850245819864
timers,0,0,0,0,0,0,0,1,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.464914899970141e-05,4.21223820870829e-05,0.0,0.0,0.0010723860589812334,0.0006051168154837133
timetable,0,0,0,1,0,1,0,0,3,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0001330671989354624,4.556522698898287e-05,0.0,0.0,5.407159078620093e-05,1.8515339073332232e-05,0.0,0.0,0.0,0.0,0.00038684719535783365,0.00013246525370298116,0.0,0.0
tin,1,0,0,0,0,3,0,1,0,0,5,9.073586788857636e-05,3.1070019129135856e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001622147723586028,5.5546017219996696e-05,0.0,0.0,7.464914899970141e-05,2.5561561721574075e-05,0.0,0.0,0.0,0.0
tiny,3,3,7,3,1,9,1,6,8,1,42,0.00027220760366572906,-0.00015838579218936815,0.0007451564828614009,-0.0004335742214900711,0.0005033436398935787,-0.00029287382157745936,0.0003992015968063872,-0.00023227808592402212,0.00018158707100054475,-0.00010565763668779288,0.00048664431707580837,-0.00028315721029291007,0.0005473453749315818,-0.00031847652175132757,0.0004478948939982084,-0.00026061060252598184,0.0010315925209542231,-0.000600238922233063,0.0005361930294906167,-0.00031198745589258736
tip,1,0,2,7,2,1,0,2,1,0,16,9.073586788857636e-05,-1.4765202567616345e-05,0.0,-0.0,0.00014381246854102252,-2.3402214352153557e-05,0.0009314703925482369,-0.00015157565967849609,0.0003631741420010895,-5.9098346648883144e-05,5.407159078620093e-05,-8.798923840039998e-06,0.0,-0.0,0.00014929829799940282,-2.429490855444905e-05,0.0001289490651192779,-2.098353288171499e-05,0.0,-0.0
tipple,0,0,1,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0001330671989354624,9.851798928732452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
